id_client;nume;prenume;id_card;puncte;data_nastere;mail;telefon
52;Josiah;Rutledge;52;56;19.05.2021;imperdiet@aliquam.edu;(0361) 26778039
53;Briar;Battle;53;45;27.06.2021;erat@mollis.org;(030959) 824239
54;Mikayla;Mann;54;39;21.04.2022;turpis.non@sitamet.org;(0869) 82155844
55;Meghan;Huber;55;17;13.05.2021;pharetra.nibh.Aliquam@quamvel.net;(05513) 7699101
56;Raphael;Sawyer;56;35;06.11.2021;est.ac@condimentum.net;(084) 56391681
57;Aidan;Todd;57;27;16.10.2021;lobortis.nisi@ipsum.net;(0635) 98795401
58;Price;Conway;58;59;28.11.2020;libero@magnatellus.co.uk;(09951) 3766148
59;Giacomo;Rios;59;14;26.02.2022;Vivamus.non.lorem@magnisdis.edu;(061) 73000989
60;Chadwick;Griffin;60;1;26.05.2021;Sed.nulla.ante@dictum.net;(085) 91676432
61;Amena;Combs;61;83;15.09.2020;ut.mi.Duis@luctus.org;(031216) 405709
62;Mollie;Ratliff;62;41;22.05.2021;Curae.Donec.tincidunt@Integer.net;(02069) 2937165
63;Maia;Klein;63;5;05.06.2020;Donec@cursusaenim.com;(0486) 45482567
64;Jaden;Mills;64;22;09.06.2021;ut@necmetusfacilisis.ca;(06752) 6577301
65;Maryam;Clark;65;68;03.01.2021;eu@cursus.net;(0044) 85336045
66;Alexa;Ochoa;66;22;10.12.2020;id.sapien.Cras@neque.com;(03510) 3442832
67;Scott;Meyers;67;74;04.08.2020;Donec@pharetra.edu;(0405) 08804187
68;Elmo;Lott;68;35;17.04.2021;sem@convallisligulaDonec.com;(0468) 32940034
69;Quemby;Booker;69;9;06.10.2021;consectetuer.adipiscing@vitae.org;(031419) 530661
70;Larissa;Matthews;70;17;01.02.2021;orci@massarutrum.edu;(06197) 8218427
71;Finn;Klein;71;16;26.08.2021;velit.Aliquam@facilisisfacilisis.net;(02005) 6307377
72;Kylan;Sanchez;72;9;18.10.2020;placerat.velit@indolor.com;(030598) 350372
73;Jesse;Zimmerman;73;29;07.04.2021;sit.amet.orci@Quisquetinciduntpede.net;(03326) 1848654
74;Moses;Bradford;74;41;06.02.2022;blandit@tempusmauriserat.ca;(092) 43304840
75;Kenyon;Blackwell;75;51;08.02.2022;semper.pretium@gravidaAliquamtincidunt.co.uk;(0282) 56427476
76;Vladimir;Greer;76;56;08.01.2021;Duis@orciquis.com;(03443) 5155684
77;Elaine;Albert;77;49;25.08.2021;risus.Nunc@velitSedmalesuada.co.uk;(098) 89480484
78;Ian;Colon;78;63;02.11.2020;torquent@metusVivamus.org;(07895) 1894587
79;Buffy;Berg;79;85;05.11.2021;posuere.cubilia@turpisIncondimentum.edu;(029) 17260949
80;Rhea;Wilder;80;64;17.10.2020;sapien@Sednullaante.org;(0321) 31060355
81;Petra;Hunter;81;79;02.07.2020;dictum.eu@elitafeugiat.com;(0532) 93954059
82;Nash;Burton;82;85;02.11.2021;dictum.mi.ac@dictumPhasellus.ca;(088) 71010747
83;Kellie;Watkins;83;20;31.05.2021;vitae@nonvestibulum.ca;(098) 66696226
84;Porter;Blake;84;47;06.12.2021;cubilia@aliquam.org;(0297) 20594127
85;Brody;Vaughn;85;99;09.09.2021;at.velit.Cras@dolor.co.uk;(031800) 011472
86;Clayton;Evans;86;94;18.10.2021;natoque.penatibus@egestas.edu;(031632) 126187
87;Chancellor;Rosa;87;15;12.12.2021;natoque.penatibus.et@aliquet.com;(0558) 15145621
88;Preston;Bates;88;54;14.06.2020;facilisis@purusin.co.uk;(0742) 09729240
89;Eve;Snider;89;53;30.04.2022;mauris.Integer@sollicitudin.ca;(093) 09135583
90;Chloe;Wiley;90;98;19.02.2021;Duis.cursus@leo.com;(07827) 4520944
91;Clayton;Eaton;91;47;20.05.2020;et.tristique.pellentesque@arcuAliquam.net;(035370) 420440
92;Alexandra;Woodard;92;31;20.03.2022;dictum.ultricies@Donec.co.uk;(095) 11617488
93;Walker;Berg;93;66;29.01.2022;ut.aliquam@elit.org;(00987) 8733599
94;Dalton;Morin;94;89;08.02.2022;Donec@nibhPhasellusnulla.co.uk;(004) 73248364
95;Moses;Kerr;95;48;12.10.2020;justo.faucibus.lectus@Mauris.edu;(034) 58125912
96;Geraldine;Brewer;96;11;24.08.2021;et.commodo.at@estMauriseu.com;(039259) 922790
97;Chaney;Jennings;97;25;08.05.2021;ipsum@duiinsodales.org;(075) 57241657
98;Fitzgerald;Waters;98;54;06.05.2020;sed.est@luctuset.edu;(032051) 073356
99;Evelyn;Mcintosh;99;21;24.01.2021;vel.quam@ornareelit.org;(03824) 5708241
100;Yvonne;Rivers;100;27;21.02.2021;Ut.tincidunt@velitSedmalesuada.com;(05141) 1842769
101;test2;test;101;0;02/02/2000;test;test
102;test2;test2;102;0;02.02.2000;test2;test2
